INSTROTECH HWTT ANALYZER EXAMPLE
Sample: HWTT EXAMPLE LEFT
Temperature: 50 C

[GRAPH]
Passes	Rut depth	Temperature
250	1.136	50.0
500	1.223	50.0
750	1.311	50.0
1000	1.401	50.0
1250	1.492	50.0
1500	1.585	50.0
1750	1.679	50.0
2000	1.774	50.0
2250	1.871	50.0
2500	1.969	50.0
2750	2.068	50.0
3000	2.169	50.0
3250	2.271	50.0
3500	2.375	50.0
3750	2.480	50.0
4000	2.586	50.0
4250	2.694	50.0
4500	2.803	50.0
4750	2.913	50.0
5000	3.025	50.0
5250	3.138	50.0
5500	3.253	50.0
5750	3.369	50.0
6000	3.486	50.0
6250	3.605	50.0
6500	3.725	50.0
6750	3.846	50.0
7000	3.969	50.0
7250	4.093	50.0
7500	4.219	50.0
7750	4.346	50.0
8000	4.474	50.0
8250	4.604	50.0
8500	4.735	50.0
8750	4.867	50.0
9000	5.001	50.0
9250	5.136	50.0
9500	5.273	50.0
9750	5.411	50.0
10000	5.550	50.0
10250	5.691	50.0
10500	5.833	50.0
10750	5.976	50.0
11000	6.121	50.0
11250	6.267	50.0
11500	6.415	50.0
11750	6.564	50.0
12000	6.714	50.0
12250	6.866	50.0
12500	7.019	50.0
12750	7.173	50.0
13000	7.329	50.0
13250	7.486	50.0
13500	7.645	50.0
13750	7.805	50.0
14000	7.966	50.0
14250	8.129	50.0
14500	8.293	50.0
14750	8.458	50.0
15000	8.625	50.0
15250	8.793	50.0
15500	8.963	50.0
15750	9.134	50.0
16000	9.306	50.0
16250	9.480	50.0
16500	9.655	50.0
16750	9.831	50.0
17000	10.009	50.0
17250	10.188	50.0
17500	10.369	50.0
17750	10.551	50.0
18000	10.734	50.0
18250	10.919	50.0
18500	11.105	50.0
18750	11.292	50.0
19000	11.481	50.0
19250	11.671	50.0
19500	11.863	50.0
19750	12.056	50.0
20000	12.250	50.0
[END]
