INSTROTECH HWTT ANALYZER EXAMPLE
Sample: HWTT EXAMPLE RIGHT
Temperature: 50 C

[GRAPH]
Passes	Rut depth	Temperature
250	1.258	50.0
500	1.337	50.0
750	1.418	50.0
1000	1.500	50.0
1250	1.583	50.0
1500	1.667	50.0
1750	1.753	50.0
2000	1.840	50.0
2250	1.928	50.0
2500	2.018	50.0
2750	2.108	50.0
3000	2.200	50.0
3250	2.293	50.0
3500	2.387	50.0
3750	2.483	50.0
4000	2.580	50.0
4250	2.678	50.0
4500	2.778	50.0
4750	2.878	50.0
5000	2.980	50.0
5250	3.083	50.0
5500	3.188	50.0
5750	3.293	50.0
6000	3.400	50.0
6250	3.508	50.0
6500	3.618	50.0
6750	3.728	50.0
7000	3.840	50.0
7250	3.953	50.0
7500	4.067	50.0
7750	4.183	50.0
8000	4.300	50.0
8250	4.418	50.0
8500	4.537	50.0
8750	4.658	50.0
9000	4.780	50.0
9250	4.903	50.0
9500	5.027	50.0
9750	5.153	50.0
10000	5.280	50.0
10250	5.408	50.0
10500	5.537	50.0
10750	5.668	50.0
11000	5.800	50.0
11250	5.933	50.0
11500	6.067	50.0
11750	6.203	50.0
12000	6.340	50.0
12250	6.478	50.0
12500	6.617	50.0
12750	6.758	50.0
13000	6.900	50.0
13250	7.043	50.0
13500	7.187	50.0
13750	7.333	50.0
14000	7.480	50.0
14250	7.628	50.0
14500	7.777	50.0
14750	7.928	50.0
15000	8.080	50.0
15250	8.233	50.0
15500	8.387	50.0
15750	8.543	50.0
16000	8.700	50.0
16250	8.858	50.0
16500	9.018	50.0
16750	9.178	50.0
17000	9.340	50.0
17250	9.503	50.0
17500	9.668	50.0
17750	9.833	50.0
18000	10.000	50.0
18250	10.168	50.0
18500	10.338	50.0
18750	10.508	50.0
19000	10.680	50.0
19250	10.853	50.0
19500	11.027	50.0
19750	11.203	50.0
20000	11.380	50.0
[END]
